#GENE	STR-M-DSVA3
1700015I17Rik	0
1700015O11Rik	0
1700016A09Rik	7
1700016B01Rik	0
1700016B15Rik	0
1700016C15Rik	2
1700016D06Rik	0
1700016D08Rik	0
1700016F12Rik	0
1700016G22Rik	0
1700016H03Rik	0
1700016H13Rik	0
1700016J18Rik	1
1700016K05Rik	0
1700016K19Rik	21
1700016L21Rik	0
1700016P03Rik	31
1700016P04Rik	0
1700017B05Rik	244
1700017G19Rik	0
1700017I07Rik	0
1700017J07Rik	0
1700017L05Rik	0
1700017M07Rik	6
1700017N19Rik	0
1700018A04Rik	3
1700018A14Rik	0
1700018A23Rik	1
1700018B08Rik	0
1700018B24Rik	0
1700018F24Rik	0
1700018G05Rik	0
1700018L02Rik	14
1700018M17Rik	0
1700018P08Rik	0
1700019A02Rik	6
1700019A23Rik	0
1700019C18Rik	0
1700019D03Rik	336
1700019E08Rik	0
1700019F05Rik	0
1700019G24Rik	11
1700019J19Rik	0
1700019L13Rik	1
1700019M22Rik	0
1700019N19Rik	8
1700019P21Rik	0
1700020A23Rik	0
1700020D05Rik	0
1700020D12Rik	0
1700020G03Rik	0
1700020G17Rik	1
1700020L24Rik	7
1700020M21Rik	0
1700020N01Rik	0
1700020N15Rik	0
1700020N18Rik	2
1700021A07Rik	0
1700021F02Rik	0
1700021F07Rik	14
1700021F13Rik	0
1700021G15Rik	0
1700021J08Rik	0
1700021L23Rik	0
1700021N21Rik	0
1700021P04Rik	0
1700022A21Rik	0
1700022A22Rik	0
1700022E09Rik	0
1700022H01Rik	3
1700022H16Rik	0
1700022I11Rik	5
1700022N22Rik	4
1700023B13Rik	0
1700023C21Rik	0
1700023F02Rik	2
1700023G09Rik	0
1700023H06Rik	0
1700024B05Rik	0
1700024B18Rik	0
1700024G13Rik	29
1700024I08Rik	0
1700024J04Rik	0
1700025A08Rik	0
1700025B11Rik	0
1700025C18Rik	0
1700025D23Rik	0
1700025F24Rik	0
1700025G04Rik	3211
1700025H01Rik	0
1700025J12Rik	0
1700025K04Rik	0
1700025K24Rik	0
1700025L06Rik	0
1700025M24Rik	0
1700025N21Rik	0
1700025N23Rik	0
1700025O08Rik	0
1700026D11Rik	0
1700026F02Rik	0
1700026J12Rik	0
1700026J14Rik	5
1700026N04Rik	0
1700027A07Rik	3
1700027A15Rik	0
1700027F06Rik	0
1700027F09Rik	0
1700027H10Rik	1
1700027I24Rik	0
1700027J07Rik	0
1700028B04Rik	1
1700028D13Rik	0
1700028E10Rik	42
1700028I16Rik	0
1700028J19Rik	16
1700028K03Rik	9
1700028M03Rik	0
1700028N14Rik	0
1700028P14Rik	12
1700028P15Rik	0
1700029B22Rik	0
1700029B24Rik	0
1700029E06Rik	0
1700029F12Rik	0
1700029H14Rik	0
1700029I15Rik	5
1700029J03Rik	0
1700029J07Rik	24
1700029M03Rik	0
1700029M20Rik	0
1700029N11Rik	0
1700029P11Rik	0
1700030A11Rik	0
1700030C10Rik	11
1700030C12Rik	3
1700030C14Rik	20
1700030E10Rik	0
1700030F04Rik	0
1700030I03Rik	0
1700030J22Rik	307
1700030K09Rik	211
1700030L20Rik	0
1700030L22Rik	0
1700030M09Rik	0
1700030N03Rik	0
1700030N18Rik	0
1700030O20Rik	0
1700031A10Rik	0
1700031F05Rik	0
1700031F10Rik	0
1700031L13Rik	0
1700031M16Rik	0
1700031P21Rik	0
1700034B16Rik	0
1700034E13Rik	0
1700034G24Rik	0
1700034H15Rik	33
1700034I23Rik	0
1700034J04Rik	0
1700034J05Rik	0
1700034K08Rik	0
1700034P13Rik	6
1700036A12Rik	4
1700036G14Rik	2
1700036O09Rik	0
1700037C06Rik	0
1700037C18Rik	109
1700037F03Rik	0
1700037H04Rik	1950
1700039E22Rik	0
1700039I01Rik	0
1700039M10Rik	1
1700039M15Rik	0
1700040D17Rik	2
1700040E09Rik	0
1700040F15Rik	0
1700040F17Rik	0
1700040K01Rik	1
1700040L08Rik	23
1700041B01Rik	0
1700041C23Rik	0
1700041G16Rik	5
1700041I07Rik	0
1700041M05Rik	0
1700041M19Rik	0
1700042D02Rik	0
1700042G07Rik	0
1700042G15Rik	0
1700042O05Rik	0
1700042O10Rik	0
1700044C05Rik	0
1700044K03Rik	0
1700045H11Rik	0
1700045I11Rik	0
1700046C09Rik	0
1700047A11Rik	0
1700047E10Rik	0
1700047F07Rik	0
1700047G03Rik	0
1700047G07Rik	1
1700047K16Rik	0
1700047L14Rik	0
1700047M11Rik	63
1700047N06Rik	0
1700047O18Rik	0
1700048F04Rik	2
1700048M11Rik	0
1700048O14Rik	0
1700048O20Rik	152
1700048P04Rik	0
1700049E15Rik	0
1700049E17Rik1	0
1700049E17Rik2	0
1700049E22Rik	0
1700049L16Rik	0
1700051A21Rik	1
1700051K13Rik	0
1700051O22Rik	1
1700052H01Rik	0
1700052I22Rik	0
1700052K11Rik	186
1700054A03Rik	0
1700054K02Rik	0
1700054K19Rik	0
1700054M17Rik	0
1700054O05Rik	0
1700054O19Rik	0
1700055C04Rik	0
1700055D18Rik	9
1700056E22Rik	3
1700056N10Rik	51
1700057G04Rik	2
1700057H15Rik	4
1700057H21Rik	0
1700058P15Rik	0
1700060C16Rik	0
1700060C20Rik	0
1700060J05Rik	1
1700060O08Rik	0
1700061A03Rik	0
1700061E17Rik	0
1700061E18Rik	0
1700061F12Rik	0
1700061H18Rik	0
1700061I17Rik	0
1700061J23Rik	0
1700061N14Rik	0
1700062C10Rik	0
1700063A18Rik	0
1700063D05Rik	1
1700063H04Rik	0
1700063H06Rik	0
1700063I16Rik	0
1700063J08Rik	1
1700063K16Rik	1
1700063O14Rik	1
1700064H15Rik	0
1700064J06Rik	0
1700064M15Rik	4
1700065D16Rik	4
1700065I16Rik	0
1700065J11Rik	0
1700065J18Rik	0
1700065L07Rik	0
1700065O20Rik	0
1700066B17Rik	0
1700066B19Rik	2
1700066C05Rik	1
1700066J03Rik	0
1700066M21Rik	617
1700066N21Rik	0
1700066O22Rik	0
1700067G17Rik	0
1700067K01Rik	0
1700067P10Rik	0
1700069B07Rik	0
1700069L16Rik	0
1700069P05Rik	0
1700071G01Rik	0
1700071K01Rik	0
1700071M16Rik	0
1700072B07Rik	0
1700072G22Rik	0
1700072O05Rik	0
1700073E17Rik	0
1700074A21Rik	0
1700074H08Rik	0
1700074P13Rik	0
1700080C20Rik	0
1700080N15Rik	0
1700080O16Rik	0
1700081B01Rik	0
1700081H04Rik	0
1700081N11Rik	1
1700082M22Rik	0
1700083H02Rik	0
1700084C06Rik	1
1700084D21Rik	0
1700084E18Rik	7
1700084F23Rik	0
1700084J12Rik	0
1700084M14Rik	0
1700085C21Rik	0
1700085D07Rik	0
1700086D15Rik	0
1700086L19Rik	615
1700086O06Rik	82
1700086P04Rik	6
1700087I21Rik	124
1700087M22Rik	0
1700088E04Rik	141
1700091H14Rik	0
1700092C02Rik	0
1700092C10Rik	0
1700092C17Rik	0
1700092E16Rik	0
1700092E19Rik	0
1700092K14Rik	1
1700092M07Rik	0
1700093J21Rik	2
1700093K21Rik	0
1700094D03Rik	54
1700094J05Rik	0
1700094M23Rik	0
1700094M24Rik	0
1700095A13Rik	0
1700095A21Rik	0
1700095B10Rik	0
1700095J03Rik	13
1700095J07Rik	0
1700095J12Rik	0
1700095K22Rik	0
1700096J18Rik	0
1700096K18Rik	48
1700097M23Rik	0
1700097N02Rik	0
1700099I09Rik	0
1700100I10Rik	0
1700100L14Rik	0
1700101I11Rik	44
1700101I19Rik	0
1700101O22Rik	0
1700102F20Rik	0
1700102H20Rik	6
1700102P08Rik	12
1700104B16Rik	0
1700104L18Rik	0
1700105G05Rik	0
1700105P06Rik	3
1700106O07Rik	0
1700108F19Rik	1
1700108J01Rik	0
1700108N06Rik	0
1700108N11Rik	0
1700109G14Rik	0
1700109G15Rik	0
1700109H08Rik	8
1700109I08Rik	0
1700109K24Rik	0
1700110C19Rik	0
1700110I01Rik	0
1700110I07Rik	0
1700110K17Rik	2
1700111E14Rik	0
1700111N16Rik	0
1700112D23Rik	6
1700112H15Rik	0
1700112J05Rik	0
1700112J16Rik	27
1700112K13Rik	0
1700112L15Rik	0
1700112M02Rik	0
1700113A16Rik	42
1700113B09Rik	2
1700113B19Rik	0
1700113H08Rik	1
1700116B05Rik	0
1700116H05Rik	0
1700119H24Rik	0
1700119I11Rik	0
1700120B22Rik	0
1700120C14Rik	18
1700120C18Rik	0
1700120E14Rik	0
1700120G07Rik	0
1700120G11Rik	0
1700120K04Rik	0
1700120O09Rik	1
1700121C08Rik	0
1700121L03Rik	0
1700121L16Rik	0
1700121N20Rik	0
1700122C19Rik	0
1700122D07Rik	0
1700122E12Rik	0
1700122H20Rik	0
1700122O11Rik	0
1700123J17Rik	0
1700123K08Rik	0
1700123L14Rik	3
1700123M08Rik	58
1700123O12Rik	0
1700123O20Rik	486
1700123O21Rik	0
1700124L16Rik	16
1700124M09Rik	0
1700125G02Rik	0
1700125G22Rik	0
1700125H03Rik	0
1700125H20Rik	0
1700126A01Rik	0
1700126G02Rik	0
1700126H18Rik	0
1700127F24Rik	0
1700128A07Rik	0
1700128E19Rik	0
1700128F08Rik	0
1700128I11Rik	0
1700129C05Rik	0
1700129L04Rik	0
1810006J02Rik	0
1810007C17Rik	0
1810007D17Rik	0
1810008B01Rik	3
1810008I18Rik	0
1810009A15Rik	6
1810009J06Rik	0
1810010H24Rik	117
1810010K12Rik	14
1810012K08Rik	2
1810012K16Rik	0
1810013D15Rik	1
1810013L24Rik	2197
1810014B01Rik	129
1810014P07Rik	0
1810017P11Rik	0
1810018F18Rik	0
1810019D21Rik	1
1810019N24Rik	1
1810020O05Rik	37
1810021B22Rik	29
1810024B03Rik	30
1810026B05Rik	184
1810028F09Rik	0
1810030O07Rik	653
1810034E14Rik	3
1810035K13Rik	0
1810037I17Rik	1346
1810041H14Rik	1
1810044D09Rik	17
1810044K17Rik	0
1810046K07Rik	0
1810049I09Rik	0
1810049J17Rik	6
1810053B23Rik	0
1810055G02Rik	432
1810058I24Rik	769
1810058N15Rik	0
1810059C17Rik	0
1810059H22Rik	21
1810062G17Rik	2
1810062O18Rik	13
1810063I02Rik	1
1810064F22Rik	1
1810065E05Rik	0
1810073O08Rik	1
2010001A14Rik	77
2010001K21Rik	19
2010001M07Rik	0
2010003K11Rik	0
2010007H06Rik	4
2010008C14Rik	2
2010009K17Rik	1
2010010A06Rik	0
2010013B24Rik	2
2010016I18Rik	0
2010103J01Rik	0
2010106C02Rik	0
2010106E10Rik	4
2010106G04Rik	1
2010109A12Rik	3
2010109P13Rik	0
2010110E17Rik	2
2010110G14Rik	0
2010110K18Rik	0
2010203P06Rik	0
2010204K13Rik	537
2010300C02Rik	6408
2010308F09Rik	6
2010309G21Rik	0
2010310C07Rik	0
2010315B03Rik	264
2010320M18Rik	144
2010320O07Rik	3
2200002A13Rik	0
2200002D01Rik	3
2200002J24Rik	0
2200007N16Rik	0
2210009P08Rik	0
2210010C04Rik	0
2210011K15Rik	0
2210016F16Rik	282
2210016L21Rik	2317
2210017I01Rik	0
2210020O09Rik	0
2210039B01Rik	1
2210404E10Rik	0
2210406H18Rik	0
2210406O10Rik	29
2210407C18Rik	3
2210408F21Rik	146
2210408I21Rik	336
2210409D07Rik	0
2210409E12Rik	0
2210411M09Rik	0
2210412B16Rik	0
2210414B05Rik	0
2210414F02Rik	0
2210417A02Rik	0
2210418O10Rik	0
2210420H20Rik	0
2300002M23Rik	1
2300003K06Rik	0
2300009A05Rik	144
2310001H17Rik	11
2310001K20Rik	0
2310001K24Rik	1
2310002D06Rik	0
2310002F09Rik	21
2310002L09Rik	0
2310003L06Rik	0
2310003N18Rik	0
2310005A03Rik	0
2310005E17Rik	0
2310008N11Rik	0
2310009B15Rik	129
2310010J17Rik	32
2310011J03Rik	760
2310014F06Rik	11
2310015A10Rik	170
2310015A16Rik	0
2310015D24Rik	0
2310015K22Rik	0
2310016D03Rik	0
2310016D23Rik	0
2310016G11Rik	8
2310020H05Rik	0
2310022A10Rik	582
2310022B05Rik	2707
2310026I22Rik	3
2310026L22Rik	1
2310030A07Rik	0
2310030G06Rik	64
2310033P09Rik	404
2310034C09Rik	0
2310034G01Rik	20
2310034O05Rik	0
2310039H08Rik	90
2310039L15Rik	0
2310040G07Rik	5
2310040G24Rik	12
2310043L19Rik	1
2310043M15Rik	0
2310043O21Rik	3
2310043P16Rik	9
2310044K18Rik	0
2310046K23Rik	0
2310047D07Rik	3
2310050C09Rik	0
2310057J18Rik	0
2310057M21Rik	602
2310057N15Rik	0
2310058D17Rik	44
2310061I04Rik	963
2310061N02Rik	0
2310065F04Rik	2
2310067P03Rik	0
2310068J16Rik	5
2310069B03Rik	0
2310074N15Rik	10
2310075C17Rik	5
2310079G19Rik	0
2310081O03Rik	1
2400006E01Rik	0
2410002F23Rik	1235
2410003I16Rik	0
2410003L11Rik	0
2410004B18Rik	588
2410004I01Rik	10
2410004P03Rik	136
2410006H16Rik	480
2410012E07Rik	0
2410017I17Rik	0
2410018L13Rik	65
2410021H03Rik	0
2410022M11Rik	43
2410024N13Rik	0
2410080I02Rik	3
2410124H12Rik	7
2410131K14Rik	1010
2410137M14Rik	1
2410141K09Rik	0
2410152P15Rik	1
2500002B13Rik	14
2500004C02Rik	192
2510002D24Rik	205
2510009E07Rik	3629
2510016D11Rik	16
2510017J16Rik	0
2510039O18Rik	656
2510046G10Rik	13
2600002D14Rik	1
2600006K01Rik	20
2600014E21Rik	3
2610001A08Rik	0
2610001J05Rik	923
2610002M06Rik	3136
2610005L07Rik	39
2610008E11Rik	735
2610011E03Rik	0
2610012C04Rik	0
2610016A17Rik	0
2610017A05Rik	1
2610020C07Rik	27
2610021A01Rik	436
2610024D14Rik	0
2610027F03Rik	0
2610027K06Rik	3
2610028D06Rik	0
2610028E06Rik	120
2610028H24Rik	2
2610034O05Rik	0
2610035D17Rik	312
2610035F20Rik	14
2610037D02Rik	17
2610042L04Rik	6
2610044O15Rik8	497
2610105M22Rik	0
2610203C22Rik	20
2610204G07Rik	2
2610206C17Rik	2
2610300A13Rik	0
2610300M13Rik	1
2610301B20Rik	995
2610303G11Rik	0
2610306M01Rik	166
2610306O10Rik	0
2610307P16Rik	10
2610316D01Rik	98
2610318M16Rik	0
2610318N02Rik	16
2610507B11Rik	9371
2610507I01Rik	108
2610509F24Rik	0
2610528A11Rik	16
2610528J11Rik	2
2700029L08Rik	0
2700033N17Rik	41
2700038G22Rik	8
2700046A07Rik	12
2700046G09Rik	56
2700049A03Rik	178
2700054A10Rik	38
2700062C07Rik	293
2700068H02Rik	2
2700069I18Rik	5
2700078F05Rik	0
2700080J24Rik	0
2700081O15Rik	1162
2700089I24Rik	0
2700097O09Rik	61
2700099C18Rik	7
2810001G20Rik	217
2810002D19Rik	114
2810004N23Rik	634
2810006K23Rik	318
2810013P06Rik	336
2810021J22Rik	273
2810025M15Rik	294
2810029C07Rik	151
2810030D12Rik	7
2810032G03Rik	323
2810039B14Rik	14
2810047C21Rik1	0
2810049E08Rik	40
2810402E24Rik	73
2810403D21Rik	33
2810403G07Rik	0
2810404F17Rik	0
2810404M03Rik	1
2810405F15Rik	8
2810405F17Rik	5
2810407A14Rik	67
2810408A11Rik	8
2810408I11Rik	10
2810410L24Rik	80
2810414N06Rik	50
2810428J06Rik	6
2810429I04Rik	96
2810430I11Rik	0
2810432F15Rik	1
2810433D01Rik	6
2810442N19Rik	0
2810454H06Rik	7
2810455O05Rik	149
2810457G06Rik	15
2810459M11Rik	366
2810471M01Rik	0
2900002M20Rik	0
2900005J15Rik	4
2900009J06Rik	15
2900018N21Rik	0
2900022M07Rik	2
2900024D18Rik	0
2900026A02Rik	1125
2900027M19Rik	2
2900035J10Rik	0
2900037B21Rik	0
2900040C04Rik	1
2900041M22Rik	16
2900042G08Rik	0
2900042K21Rik	0
2900045O20Rik	21
2900052L18Rik	13
2900052N01Rik	884
2900057B20Rik	0
2900060B14Rik	1
2900060N12Rik	27
2900064F13Rik	149
2900064K03Rik	0
2900069G24Rik	0
2900072N19Rik	3
2900076A07Rik	42
2900076G11Rik	4
2900078I11Rik	0
2900079G21Rik	181
2900089D17Rik	9
2900092C05Rik	0
2900092N22Rik	0
2900092O11Rik	0
2900093K20Rik	20
2900097C17Rik	16156
3000002C10Rik	43
3010001F23Rik	33
3010003L21Rik	4
3100003L05Rik	2
3110001I22Rik	54
3110004A20Rik	0
3110006O06Rik	4
3110009E18Rik	44
3110009F21Rik	0
3110009M11Rik	1
3110015C05Rik	0
3110018I06Rik	0
3110021N24Rik	3
3110031N09Rik	0
3110039M20Rik	76
3110040M04Rik	0
3110040N11Rik	205
3110043J17Rik	0
3110045C21Rik	14
3110053B16Rik	130
3110056K07Rik	71
3110062G12Rik	0
3110067C02Rik	5
3110070M22Rik	5
3110080E11Rik	1
3110080O07Rik	0
3110082I17Rik	122
3110082J24Rik	36
3110083C13Rik	10
3110099E03Rik	4
3200001D21Rik	0
3222401L13Rik	21
3300002A11Rik	15
3300002I08Rik	55
3300002P13Rik	8
3300005D01Rik	0
3425401B19Rik	8
3632454L22Rik	35
3732407C23Rik	0
3830403N18Rik	6
3830406C13Rik	498
3830408C21Rik	52
3830417A13Rik	0
3830422I06Rik	1
3830432H09Rik	0
3930402G23Rik	6
4430402I18Rik	62
4631405J19Rik	1
4631422I05Rik	0
4632404H12Rik	224
4632404M16Rik	0
4632411P08Rik	18
4632415L05Rik	1040
4632418H02Rik	1
4632427E13Rik	11
4632428C04Rik	50
4632432E15Rik	0
4632433K11Rik	0
4633401B06Rik	1
4731419I09Rik	0
4732414G09Rik	4
4732416N19Rik	13
4732419C18Rik	1
4732440D04Rik	17
4732463B04Rik	5
4732465J04Rik	0
4732471J01Rik	57
4732487G21Rik	0
4732490B19Rik	0
4732491K20Rik	59
4732496C06Rik	43
4831440D22Rik	0
4833403J16Rik	3
4833404L02Rik	0
4833405L11Rik	1
4833407H14Rik	2
4833408A19Rik	11
4833411C07Rik	6
4833412C05Rik	2
4833412C15Rik	0
4833412K13Rik	0
4833413E03Rik	0
4833413G10Rik	83
4833415N18Rik	92
4833417C18Rik	7
4833418N02Rik	17
4833418N17Rik	0
4833419F23Rik	4
4833419O12Rik	1
4833420G17Rik	471
4833421G17Rik	0
4833421K07Rik	0
4833422C13Rik	52
4833422M21Rik	6
4833427F10Rik	0
4833427G06Rik	9
4833428L15Rik	0
4833438C02Rik	21
4833439L19Rik	4962
4833445I07Rik	45
4921501I09Rik	0
4921504A21Rik	38
4921504E06Rik	0
4921507G05Rik	2
4921507P07Rik	41
4921508D12Rik	0
4921508M14Rik	0
4921509A06Rik	0
4921509C19Rik	0
4921509O07Rik	0
4921511C10Rik	0
4921511C20Rik	0
4921511E07Rik	0
4921511I17Rik	0
4921513H07Rik	0
4921513I03Rik	0
4921513I08Rik	0
4921514A10Rik	0
4921515E04Rik	1
4921515L22Rik	0
4921516A02Rik	9
4921517D16Rik	0
4921517D22Rik	0
4921518K17Rik	0
4921520N01Rik	0
4921521D15Rik	0
4921522A10Rik	0
4921522P10Rik	0
4921523L03Rik	0
4921524J17Rik	343
4921524L21Rik	0
4921525O09Rik	87
4921527H02Rik	0
4921528I07Rik	0
4921529L05Rik	2
4921531C22Rik	40
4921531P14Rik	0
4921533I20Rik	0
4921534A09Rik	1
4921534H16Rik	0
4921536K21Rik	18
4921539E11Rik	0
4921539H07Rik	5
4922502N22Rik	1
4930401A07Rik	0
4930401C15Rik	0
4930401G09Rik	0
4930401O10Rik	0
4930401O12Rik	0
4930402C01Rik	0
4930402D18Rik	0
4930402F06Rik	0
4930402F11Rik	0
4930402H05Rik	0
4930402H24Rik	3464
4930402K13Rik	0
4930403D09Rik	0
4930403O18Rik	0
4930403P22Rik	0
4930404A05Rik	0
4930404A12Rik	0
4930404H11Rik	3
4930404H24Rik	0
4930404I05Rik	1
4930404I20Rik	0
4930404K13Rik	0
4930404N11Rik	4
4930404O17Rik	0
4930405A10Rik	0
4930405A21Rik	6
4930405D01Rik	0
4930405D11Rik	0
4930405G09Rik	0
4930405H06Rik	0
4930405J17Rik	0
4930405L22Rik	0
4930405N21Rik	0
4930405O22Rik	0
4930406D18Rik	0
4930407G08Rik	0
4930407I10Rik	0
4930407I19Rik	0
4930408K08Rik	0
4930408O17Rik	1
4930412B13Rik	0
4930412C18Rik	75
4930412E21Rik	0
4930412F09Rik	0
4930412F12Rik	1
4930412L05Rik	3
4930412M03Rik	0
4930412O13Rik	0
4930413E15Rik	0
4930413F20Rik	1
4930413G21Rik	0
4930414F18Rik	0
4930414N06Rik	0
4930415C11Rik	0
4930415H17Rik	0
4930415L06Rik	0
4930415O11Rik	0
4930415O20Rik	0
4930415P13Rik	0
4930417H01Rik	1
4930417O13Rik	5
4930417O22Rik	0
4930419G24Rik	1
4930420G21Rik	3
4930420N18Rik	0
4930421C12Rik	0
4930421P07Rik	0
4930422C21Rik	0
4930422I22Rik	0
4930422M22Rik	0
4930423C22Rik	0
4930423D22Rik	17
4930423D24Rik	0
4930423M02Rik	0
4930425K10Rik	0
4930425K24Rik	0
4930425L21Rik	0
4930425O10Rik	1
4930425P05Rik	0
4930426D05Rik	3
4930426I24Rik	2
4930426L09Rik	10
4930428D20Rik	0
4930428E07Rik	0
4930428N03Rik	2
4930428O21Rik	0
4930429C20Rik	0
4930429D17Rik	0
4930429F24Rik	4
4930429H19Rik	2
4930429P21Rik	0
4930430E12Rik	0
4930430F08Rik	450
4930430F21Rik	0
4930430O22Rik	0
4930431F10Rik	0
4930431F12Rik	0
4930431L21Rik	0
4930431P03Rik	0
4930431P19Rik	36
4930431P22Rik	0
4930432B10Rik	0
4930432E11Rik	0
4930432H08Rik	0
4930432J09Rik	0
4930432K21Rik	52
4930432L08Rik	0
4930432M17Rik	0
4930432O09Rik	0
4930433B08Rik	0
4930433E05Rik	0
4930433I11Rik	0
4930433J02Rik	0
4930433N12Rik	0
4930434B07Rik	1
4930434F21Rik	0
4930434J06Rik	0
4930434O05Rik	0
4930435C17Rik	0
4930435F18Rik	0
4930435M08Rik	0
4930435N07Rik	0
4930437M23Rik	0
4930438A08Rik	2
4930438E09Rik	0
4930439A04Rik	0
4930439D14Rik	0
4930440C22Rik	0
4930440I19Rik	0
4930441H08Rik	0
4930441J16Rik	0
4930442G10Rik	0
4930442G15Rik	0
4930442H23Rik	0
4930442J19Rik	0
4930442L01Rik	0
4930442P19Rik	0
4930443G03Rik	0
4930443O20Rik	0
4930444A19Rik	1
4930444E06Rik	0
4930444F02Rik	0
4930444G20Rik	0
4930444K16Rik	0
4930444P10Rik	4
4930445B16Rik	0
4930445E18Rik	6
4930445N06Rik	0
4930445N08Rik	0
4930445N18Rik	0
4930447A16Rik	0
4930447C04Rik	13
4930447C11Rik	0
4930447F04Rik	0
4930447F24Rik	0
4930447J18Rik	0
4930447K03Rik	5
4930447M23Rik	64
4930447N08Rik	0
4930448A20Rik	2
4930448C13Rik	0
4930448D08Rik	0
4930448E22Rik	0
4930448F12Rik	0
4930448H16Rik	0
4930448I06Rik	0
4930448I18Rik	0
4930448K20Rik	0
4930449A18Rik	0
4930449C09Rik	0
4930449E01Rik	0
4930449E18Rik	0
4930449I04Rik	1
4930449I24Rik	0
4930451E10Rik	0
4930451G09Rik	134
4930451I11Rik	1
4930452A19Rik	1
4930452B06Rik	478
4930452G13Rik	84
4930452L12Rik	0
4930452N14Rik	1
4930453C13Rik	0
4930453H23Rik	0
4930453L07Rik	0
4930453N24Rik	643
4930453O03Rik	0
4930455B14Rik	4
4930455C13Rik	1
4930455G09Rik	2
