"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"1","0610005C13Rik",1.57,0.94,1.17,2.3,0,0.7,0,1,-0.19,-2.4,0.24532,NA
"2","0610006L08Rik",0,1.89,0,0,0,0.7,0,0.4,-0.03,-0.96,0.78812,NA
"3","0610009B22Rik",584.52,559.36,462,480.9,287.85,332.64,337.24,434.9,-0.67,-0.71,4.19911743626873e-08,2.90958951505756e-07
"4","0610009E02Rik",42.42,25.47,44.45,21.86,10.1,21.05,10.72,25.2,-0.77,-1.24,0.00609,0.01712
"5","0610009L18Rik",58.14,65.09,43.28,63.28,21.04,28.07,21.44,42.9,-1,-1.28,5e-05,0.00023
"6","0610010F05Rik",1478.57,1480.93,1278.4,1386.32,1317.22,1370.55,1238.48,1364.4,-0.1,-0.1,0.25274,0.39246
"7","0610010K14Rik",22,32.07,23.39,21.86,7.58,11.93,14.02,19,-0.7,-1.16,0.01221,0.03167
"8","0610012D04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"9","0610012G03Rik",887.77,980.06,722.83,823.74,762.56,617.55,759.41,793.4,-0.25,-0.26,0.03691,0.08236
"10","0610025J13Rik",7.86,0.94,0,0,0.84,0,2.47,1.7,-0.09,-0.94,0.60848,0.73375
"11","0610030E20Rik",361.39,325.43,331,343.99,170.02,236.5,176.45,277.8,-0.75,-0.8,1.01003584261478e-07,6.61571942370225e-07
"12","0610031O16Rik",0,0,0,0,0.84,0,0,0.1,0.01,0.37,0.92344,NA
"13","0610033M10Rik",0,2.83,0,1.15,2.53,0,0.82,1,0.01,0.07,0.97202,NA
"14","0610038B21Rik",0,9.43,7.02,8.05,5.89,2.11,9.07,5.9,-0.04,-0.16,0.85999,0.91568
"15","0610039K10Rik",0,0.94,1.17,1.15,0,1.4,0,0.7,-0.05,-0.79,0.74492,NA
"16","0610040B10Rik",95.85,79.23,63.16,75.93,42.93,25.26,49.47,61.7,-0.79,-1,0.00059,0.0021
"17","0610040F04Rik",17.28,16.04,18.71,10.35,20.2,10.53,11.54,15,-0.08,-0.15,0.77144,0.85638
"18","0610040J01Rik",267.12,253.74,292.41,274.96,282.8,296.85,268.8,276.7,0.05,0.06,0.65915,0.77419
"19","0610043K17Rik",3.14,3.77,1.17,5.75,2.53,2.81,1.65,3,-0.12,-0.57,0.59977,0.72748
"20","0710001A04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"21","1010001B22Rik",11,3.77,11.7,5.75,4.21,5.61,17.32,8.5,0.07,0.19,0.80172,0.87634
"22","1100001I12Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"23","1110002E22Rik",111.56,92.44,131,88.59,173.39,143.16,225.1,137.9,0.67,0.77,0.00034,0.00127
"24","1110002J07Rik",39.28,34.9,36.26,43.72,16.83,31.58,13.19,30.8,-0.6,-0.89,0.02169,0.05205
"25","1110002L01Rik",540.52,402.78,390.65,391.16,276.91,266.67,259.73,361.2,-0.64,-0.68,1.74177820360325e-06,9.48604622457596e-06
"26","1110002O04Rik",1.57,3.77,17.54,6.9,1.68,4.21,2.47,5.5,-0.38,-1.41,0.13934,0.24604
"27","1110003F10Rik",4.71,3.77,8.19,6.9,0,0.7,0,3.5,-0.92,-4.39,0.00353,0.01054
"28","1110004F10Rik",2666.46,2403.45,2205.91,1859.17,2187.51,2049.86,2051.49,2203.4,-0.12,-0.12,0.27181,0.4146
"29","1110006O24Rik",11,13.21,9.36,19.56,12.63,7.72,20.61,13.4,0.01,0.03,0.96388,0.97965
"30","1110008E08Rik",1.57,0,0,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"31","1110008P14Rik",4148.17,4133.41,3733.45,3865.6,3553.55,3171.98,3715.44,3760.2,-0.19,-0.19,0.02259,0.05387
"32","1110012L19Rik",317.4,352.78,292.41,247.35,298.79,249.13,283.65,291.6,-0.12,-0.13,0.39517,0.54413
"33","1110013H19Rik",3.14,5.66,11.7,19.56,15.15,14.04,7.42,11,0.11,0.27,0.68219,0.79244
"34","1110015O18Rik",39.28,67.92,30.41,48.32,26.93,14.04,20.61,35.4,-0.82,-1.2,0.00205,0.00647
"35","1110017D15Rik",34.57,40.56,35.09,40.27,25.25,77.19,47.82,43,0.28,0.42,0.26247,0.40358
"36","1110018N20Rik",314.26,202.8,219.89,242.75,180.12,152.28,128.63,205.8,-0.59,-0.67,0.00036,0.00135
"37","1110019B22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"38","1110019D14Rik",76.99,61.31,54.97,65.58,29.46,40,41.23,52.8,-0.64,-0.8,0.00435,0.01272
"39","1110020A21Rik",15.71,17.92,25.73,34.51,4.21,14.74,9.07,17.4,-0.7,-1.32,0.01439,0.03654
"40","1110025L11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41","1110025M09Rik",11,12.26,19.88,4.6,15.99,10.53,9.07,11.9,-0.01,-0.01,0.98147,0.98919
"42","1110028F11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"43","1110028F18Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"44","1110032A03Rik",949.05,881.01,843.3,900.82,1009.17,750.89,840.22,882.1,-0.04,-0.04,0.69927,0.80512
"45","1110032F04Rik",551.52,509.37,419.9,439.48,384.65,432.29,447.73,455,-0.17,-0.18,0.15127,0.26303
"46","1110035H17Rik",1.57,1.89,2.34,3.45,4.21,0.7,0,2,-0.08,-0.52,0.71137,0.81374
"47","1110038B12Rik",281.26,258.46,223.4,288.77,93.43,129.12,119.56,199.1,-1.11,-1.2,2.88865353039636e-12,3.36219306162116e-11
"48","1110038F14Rik",336.25,293.36,274.86,268.06,259.24,212.64,231.7,268,-0.3,-0.32,0.02619,0.06123
"49","1110046J04Rik",172.84,128.28,109.94,131.15,51.34,61.76,70.91,103.7,-0.99,-1.14,5.02401424979505e-07,2.97194432405549e-06
"50","1110051M20Rik",1338.73,1374.34,1171.96,1148.17,1582.35,1375.46,1494.09,1355,0.23,0.24,0.01629,0.04072
"51","1110057P08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"52","1110059E24Rik",853.2,794.23,687.74,739.76,364.45,369.13,390.84,599.9,-1,-1.03,9.6288673767765e-21,2.93994143305658e-19
"53","1110059G10Rik",535.81,501.82,418.73,411.87,276.91,256.85,272.93,382.1,-0.75,-0.8,2.51459064062072e-09,2.05320135792501e-08
"54","1110060G06Rik",0,0.94,2.34,1.15,2.53,0,0,1,-0.03,-0.45,0.82951,NA
"55","1110065P20Rik",1473.86,1229.08,1026.93,1209.15,750.77,660.36,789.92,1020,-0.71,-0.75,1.12119898765297e-09,9.58309491587921e-09
"56","1190001M18Rik",0,0,0,0,0,0,1.65,0.2,0.04,1.32,0.72553,NA
"57","1190005I06Rik",25.14,25.47,17.54,23.01,25.25,14.04,13.19,20.5,-0.23,-0.39,0.38351,0.5318
"58","1190007I07Rik",193.27,160.36,154.39,172.57,81.64,100.35,95.65,136.9,-0.79,-0.87,1.84515285746016e-06,1e-05
"59","1190028D05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"60","1200007C13Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"61","1300002E11Rik",155.56,119.8,122.81,124.25,61.44,88.42,82.46,107.8,-0.65,-0.74,0.00046,0.00165
"62","1300014J16Rik",1.57,10.38,5.85,1.15,0,0,0.82,2.8,-0.61,-4.1,0.01303,0.03349
"63","1300017J02Rik",4.71,1.89,0,1.15,0.84,1.4,0.82,1.5,-0.1,-0.86,0.58757,0.71743
"64","1500002C15Rik",47.14,42.45,16.37,28.76,21.04,32.28,32.16,31.5,-0.15,-0.23,0.56743,0.70142
"65","1500002F19Rik",14.14,10.38,7.02,6.9,10.1,3.51,12.37,9.2,-0.06,-0.15,0.82731,0.89357
"66","1500004A13Rik",1126.61,1418.68,1252.67,1398.98,1358.46,1276.51,1127.17,1279.9,-0.05,-0.05,0.62146,0.74337
"67","1500005C15Rik",1.57,0.94,0,0,0,0,1.65,0.6,0,-0.08,0.97564,NA
"68","1500009C09Rik",3128.41,3019.41,3066.76,3221.33,3041.81,2560.74,2964.27,3000.4,-0.12,-0.12,0.14062,0.24787
"69","1500009L16Rik",320.54,312.22,264.34,301.42,173.39,211.23,189.65,253.3,-0.6,-0.64,8.07471800687698e-06,4e-05
"70","1500011B03Rik",2152.65,2046.9,2029.3,2013.33,2362.58,2217.58,2390.38,2173.2,0.17,0.17,0.02015,0.04886
"71","1500012K07Rik",7.86,5.66,8.19,6.9,10.1,4.21,3.3,6.6,-0.1,-0.28,0.70678,0.81052
"72","1500015A07Rik",36.14,41.5,49.12,46.02,31.14,46.32,36.28,40.9,-0.14,-0.19,0.54412,0.68141
"73","1500015L24Rik",4.71,6.6,2.34,3.45,0,0,0,2.4,-0.92,-4.89,0.00298,0.00903
"74","1500026H17Rik",182.27,135.83,119.3,158.77,44.61,55.44,48.65,106.4,-1.42,-1.58,1.89865380981527e-12,2.26368260643684e-11
"75","1500032F14Rik",0,0,0,1.15,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"76","1500035N22Rik",166.56,122.63,141.52,131.15,59.76,46.32,54.42,103.2,-1.24,-1.39,1.20533587517484e-10,1.15733719934382e-09
"77","1520401A03Rik",3.14,1.89,1.17,2.3,0,0.7,0,1.3,-0.29,-2.9,0.12317,0.22323
"78","1600002D24Rik",1.57,0,0,3.45,4.21,0,0,1.3,0.01,0.17,0.93708,0.96399
"79","1600010M07Rik",3.14,4.72,1.17,3.45,0.84,1.4,0.82,2.2,-0.27,-1.61,0.22318,0.35675
"80","1600012H06Rik",449.39,436.73,402.35,453.29,368.65,410.53,396.61,416.8,-0.14,-0.15,0.1863,0.31049
"81","1600012P17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"82","1600014C10Rik",648.94,584.83,624.58,674.18,691.02,653.34,725.61,657.5,0.12,0.13,0.21685,0.34927
"83","1600014C23Rik",3.14,11.32,10.53,10.35,3.37,1.4,0.82,5.8,-0.73,-2.28,0.01323,0.03392
"84","1600017P15Rik",6.29,0.94,0,2.3,0.84,0,0,1.5,-0.27,-3.03,0.12795,0.23004
"85","1600019K03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"86","1600020E01Rik",320.54,284.87,297.08,307.18,104.37,117.9,126.16,222.6,-1.3,-1.38,2.30544439803551e-20,6.69759561240612e-19
"87","1600022D10Rik",1.57,0.94,1.17,1.15,2.53,2.11,0,1.4,0.04,0.38,0.81587,0.88612
"88","1600023N17Rik",3.14,7.55,4.68,4.6,1.68,4.21,2.47,4,-0.22,-0.85,0.37013,0.51903
"89","1600025M17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"90","1600027J07Rik",0,0,1.17,0,0,0.7,0,0.3,-0.01,-0.35,0.926,NA
"91","1600029O15Rik",11,16.04,33.92,24.16,12.63,16.14,16.49,18.6,-0.28,-0.5,0.30078,0.44598
"92","1700001C19Rik",0,0,1.17,3.45,1.68,0,1.65,1.1,-0.01,-0.09,0.96361,NA
"93","1700001D01Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"94","1700001F09Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"95","1700001G01Rik",0,0,3.51,0,0,0,0,0.5,-0.08,-2.61,0.46189,NA
"96","1700001G11Rik",15.71,7.55,4.68,4.6,5.05,4.21,5.77,6.8,-0.23,-0.67,0.38353,0.5318
"97","1700001G17Rik",9.43,8.49,5.85,4.6,12.63,3.51,0.82,6.5,-0.1,-0.33,0.70431,0.80905
"98","1700001J03Rik",0,0.94,2.34,0,0,0.7,0,0.6,-0.07,-1.57,0.57143,NA
"99","1700001J04Rik",0,0,0,1.15,0,0,1.65,0.4,0.02,0.6,0.8613,NA
"100","1700001J11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"101","1700001K19Rik",0,0.94,1.17,0,0.84,0,0,0.4,-0.04,-1.03,0.73733,NA
"102","1700001K23Rik",0,0,0,1.15,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"103","1700001L05Rik",141.41,180.16,168.43,131.15,223.04,139.65,133.58,159.6,0.07,0.09,0.69069,0.79853
"104","1700001L19Rik",498.09,475.41,402.35,356.65,297.95,293.34,300.96,375,-0.51,-0.54,9e-05,0.00039
"105","1700001N15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"106","1700001O22Rik",42.42,51.88,57.31,69.03,40.4,20.35,32.98,44.9,-0.61,-0.83,0.01132,0.02962
"107","1700001P01Rik",1.57,4.72,3.51,9.2,0,2.81,0.82,3.2,-0.37,-1.94,0.11515,0.21163
"108","1700003C15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"109","1700003D09Rik",1.57,1.89,5.85,3.45,0.84,11.23,4.95,4.3,0.19,0.84,0.42152,0.57059
"110","1700003E16Rik",956.91,882.9,938.04,1053.84,845.88,602.82,702.52,854.7,-0.4,-0.42,0.00066,0.00232
"111","1700003E24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"112","1700003F12Rik",17.28,5.66,5.85,8.05,3.37,2.81,3.3,6.6,-0.52,-1.51,0.06023,0.12422
"113","1700003G18Rik",0,1.89,1.17,0,0,0,0,0.4,-0.09,-2.44,0.45966,NA
"114","1700003H04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"115","1700003I16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"116","1700003I22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"117","1700003L19Rik",1.57,7.55,7.02,5.75,0.84,0.7,3.3,3.8,-0.41,-1.81,0.0964,0.18291
"118","1700003M07Rik",213.69,199.97,180.12,215.14,104.37,111.58,101.42,160.9,-0.86,-0.93,2.00099579238622e-08,1.44597604092113e-07
"119","1700003N22Rik",4.71,0.94,1.17,2.3,0.84,2.81,0,1.8,-0.11,-0.82,0.58194,0.71286
"120","1700003O11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"121","1700003P14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"122","1700006A11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"123","1700006F04Rik",0,0,0,1.15,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"124","1700006H21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"125","1700006J14Rik",3.14,0.94,0,0,0,0,0,0.6,-0.12,-2.78,0.35526,NA
"126","1700006P03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"127","1700007E05Rik",3.14,0,0,0,0,0,0,0.4,-0.06,-2.27,0.5407,NA
"128","1700007F19Rik",3.14,3.77,2.34,4.6,0,0,0,2,-0.69,-4.59,0.00765,0.02097
"129","1700007H22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"130","1700007J10Rik",0,0,0,1.15,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"131","1700007K13Rik",78.56,45.28,43.28,41.42,47.98,106.67,63.49,61,0.36,0.5,0.13255,0.23657
"132","1700007L15Rik",14.14,12.26,8.19,20.71,10.94,14.74,4.12,12.2,-0.21,-0.47,0.44476,0.59309
"133","1700007M16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"134","1700007P06Rik",17.28,28.3,15.21,28.76,23.57,10.53,18.14,20.3,-0.22,-0.38,0.41274,0.56172
"135","1700008A23Rik",0,0,0,0,0.84,0,0,0.1,0.01,0.37,0.92344,NA
"136","1700008B11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"137","1700008C04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"138","1700008H02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"139","1700008J07Rik",37.71,45.28,91.23,80.53,64.81,46.32,37.93,57.7,-0.26,-0.36,0.28333,0.42761
"140","1700008K24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"141","1700008N11Rik",0,0,0,2.3,0,0,0,0.3,-0.06,-2.08,0.58518,NA
"142","1700008O03Rik",40.85,36.79,33.92,36.82,21.88,28.77,25.56,32.1,-0.39,-0.54,0.11108,0.20582
"143","1700008P02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"144","1700009C05Rik",3.14,0.94,4.68,1.15,2.53,3.51,0.82,2.4,-0.01,-0.08,0.9508,0.9719
"145","1700009J07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"146","1700009N14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"147","1700010B08Rik",0,0,0,1.15,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"148","1700010B13Rik",0,1.89,3.51,0,2.53,0.7,0,1.2,-0.03,-0.37,0.84582,NA
"149","1700010D01Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"150","1700010G06Rik",0,2.83,0,0,0,0,0,0.4,-0.06,-2.35,0.53489,NA
"151","1700010H22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"152","1700010I02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"153","1700010I14Rik",20.43,9.43,12.87,16.11,10.94,7.72,9.89,12.5,-0.3,-0.61,0.26976,0.41206
"154","1700010J16Rik",1.57,0.94,0,0,0,0,2.47,0.7,0.03,0.5,0.84456,NA
"155","1700010K23Rik",0,0,0,2.3,0,2.11,0,0.6,0.01,0.23,0.93724,NA
"156","1700010K24Rik",0,0,3.51,1.15,0.84,1.4,3.3,1.5,0.07,0.65,0.69847,0.80442
"157","1700010L04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"158","1700010N08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"159","1700011B04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"160","1700011C11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"161","1700011D18Rik",0,0.94,0,1.15,0.84,0,0,0.4,-0.04,-1.03,0.73788,NA
"162","1700011L03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"163","1700011L22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"164","1700011M02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"165","1700012A03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"166","1700012B07Rik",0,0,1.17,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"167","1700012B09Rik",0,1.89,3.51,11.5,3.37,8.42,6.6,5,0.13,0.52,0.6006,0.72803
"168","1700012C08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"169","1700012C14Rik",0,5.66,2.34,1.15,2.53,3.51,1.65,2.4,0.02,0.1,0.93912,0.96526
"170","1700012D14Rik",18.86,16.98,19.88,13.81,13.47,10.53,5.77,14.2,-0.42,-0.8,0.12594,0.22725
"171","1700012D16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"172","1700012E03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"173","1700012I11Rik",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"174","1700012J15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"175","1700012J22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"176","1700012P22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"177","1700013A02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"178","1700013D24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"179","1700013F07Rik",14.14,18.87,5.85,25.31,10.1,19.65,6.6,14.4,-0.18,-0.4,0.50449,0.64642
"180","1700013G24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"181","1700013H16Rik",3.14,2.83,2.34,0,0,0,0,1.2,-0.32,-3.84,0.07305,NA
"182","1700013M08Rik",0,0,2.34,0,0,0,0,0.3,-0.06,-2.09,0.58212,NA
"183","1700013N06Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"184","1700014D04Rik",7.86,2.83,9.36,10.35,7.58,4.21,9.07,7.3,-0.04,-0.12,0.87,0.92208
"185","1700014F14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"186","1700014L14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"187","1700015C15Rik",6.29,0,0,0,0,1.4,0,1.1,-0.09,-1.63,0.51825,NA
"188","1700015C17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"189","1700015F17Rik",3.14,2.83,2.34,0,0,0.7,1.65,1.5,-0.15,-1.4,0.4067,0.5557
"190","1700015G11Rik",0,0,1.17,0,0,0,0.82,0.3,-0.01,-0.35,0.926,NA
"191","1700015H07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"192","1700015I17Rik",1.57,0,0,1.15,0,0,0,0.4,-0.07,-2.12,0.54112,NA
"193","1700015O11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"194","1700016A09Rik",6.29,15.09,4.68,2.3,10.94,6.32,1.65,6.8,-0.06,-0.19,0.82182,0.88972
"195","1700016B01Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"196","1700016B15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"197","1700016C15Rik",0,0,0,0,0,0,3.3,0.5,0.07,2.33,0.51495,NA
"198","1700016D06Rik",3.14,0,2.34,0,0,0,0,0.8,-0.16,-3.21,0.23671,NA
"199","1700016D08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"200","1700016F12Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"201","1700016G22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"202","1700016H03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"203","1700016H13Rik",1.57,3.77,2.34,0,0,0.7,0.82,1.3,-0.18,-1.92,0.29964,0.44483
"204","1700016J18Rik",4.71,1.89,0,4.6,0,0.7,0.82,1.8,-0.27,-2.42,0.15655,0.27004
"205","1700016K05Rik",3.14,0,0,0,0,0,0,0.4,-0.06,-2.27,0.5407,NA
"206","1700016K19Rik",40.85,55.65,65.5,64.43,50.5,82.11,72.56,61.7,0.21,0.27,0.33843,0.4867
"207","1700016L21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"208","1700016P03Rik",226.26,159.41,194.16,202.48,58.92,56.14,75.03,138.9,-1.49,-1.62,7.92935239131739e-16,1.37731764824527e-14
"209","1700016P04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"210","1700017B05Rik",149.27,129.23,155.56,190.98,244.09,221.06,283.65,196.3,0.61,0.68,0.00011,0.00045
"211","1700017G19Rik",0,0,0,0,0.84,0,0,0.1,0.01,0.37,0.92344,NA
"212","1700017I07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"213","1700017J07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"214","1700017L05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"215","1700017M07Rik",4.71,1.89,7.02,3.45,2.53,6.32,0.82,3.8,-0.08,-0.37,0.72201,0.82191
"216","1700017N19Rik",0,0,0,0,0,0.7,0,0.1,0.01,0.37,0.92344,NA
"217","1700018A04Rik",0,0.94,3.51,6.9,7.58,0,0,2.7,-0.02,-0.2,0.90036,0.94017
"218","1700018A14Rik",0,1.89,2.34,0,0.84,0.7,0,0.8,-0.07,-1.08,0.63188,NA
"219","1700018A23Rik",0,0,0,0,0,0,0.82,0.1,0.01,0.37,0.92344,NA
"220","1700018B08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"221","1700018B24Rik",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"222","1700018F24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"223","1700018G05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"224","1700018L02Rik",12.57,3.77,21.05,3.45,4.21,4.91,13.19,9,-0.15,-0.44,0.5717,0.70493
"225","1700018M17Rik",0,0,0,0,0,0,0.82,0.1,0.01,0.37,0.92344,NA
"226","1700018P08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"227","1700019A02Rik",1.57,2.83,3.51,3.45,2.53,0,5.77,2.8,-0.01,-0.07,0.95293,0.97315
"228","1700019A23Rik",0,1.89,0,0,0,0,0,0.3,-0.05,-1.91,0.61545,NA
"229","1700019C18Rik",0,0.94,2.34,0,0,2.81,0,0.9,0.01,0.19,0.93741,NA
"230","1700019D03Rik",507.52,524.46,450.31,490.1,335.83,355.8,344.66,429.8,-0.49,-0.51,5.70438633393783e-06,3e-05
"231","1700019E08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"232","1700019F05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"233","1700019G24Rik",9.43,0,0,4.6,0,13.33,2.47,4.3,0.09,0.65,0.64282,0.76002
"234","1700019J19Rik",0,0,0,2.3,0,0,0,0.3,-0.06,-2.08,0.58518,NA
"235","1700019L13Rik",1.57,0.94,2.34,1.15,1.68,0,0,1.1,-0.13,-1.45,0.4545,NA
"236","1700019M22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"237","1700019N19Rik",0,0,4.68,2.3,0.84,0,0,1.1,-0.18,-2.64,0.24515,NA
"238","1700019P21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"239","1700020A23Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"240","1700020D05Rik",12.57,3.77,14.04,5.75,0,0,4.12,5.8,-0.71,-2.73,0.01335,0.03419
"241","1700020D12Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"242","1700020G03Rik",0,0.94,0,0,0,0.7,0,0.2,-0.01,-0.35,0.926,NA
"243","1700020G17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"244","1700020L24Rik",1.57,0.94,4.68,6.9,5.05,7.02,3.3,4.2,0.14,0.54,0.57874,0.71027
"245","1700020M21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"246","1700020N01Rik",0,3.77,2.34,2.3,1.68,0,1.65,1.7,-0.12,-1,0.5263,0.66599
"247","1700020N15Rik",0,0,0,0,0,0.7,0,0.1,0.01,0.37,0.92344,NA
"248","1700020N18Rik",7.86,6.6,8.19,10.35,1.68,9.12,3.3,6.7,-0.26,-0.78,0.3189,0.46564
"249","1700021A07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"250","1700021F02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"251","1700021F07Rik",0,0,1.17,1.15,0,0,0.82,0.4,-0.05,-1.12,0.71018,NA
"252","1700021F13Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"253","1700021G15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"254","1700021J08Rik",0,0,2.34,0,0,0,0.82,0.5,-0.04,-1.13,0.73366,NA
"255","1700021L23Rik",0,0,0,1.15,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"256","1700021N21Rik",0,0,3.51,1.15,0.84,0,0,0.8,-0.12,-2.06,0.41525,NA
"257","1700021P04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"258","1700022A21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"259","1700022A22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"260","1700022E09Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"261","1700022H01Rik",3.14,0,0,1.15,0,0.7,0,0.7,-0.1,-1.86,0.47608,NA
"262","1700022H16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"263","1700022I11Rik",0,1.89,4.68,1.15,0.84,8.42,2.47,2.8,0.17,1,0.43692,0.58562
"264","1700022N22Rik",1.57,2.83,5.85,10.35,5.05,2.81,1.65,4.3,-0.18,-0.72,0.46281,0.60913
